,precision,recall,f1-score,support
0,0.7835051546391752,0.8351648351648352,0.8085106382978723,91.0
1,0.825,0.868421052631579,0.8461538461538461,38.0
2,0.9616087751371115,0.9572338489535942,0.9594163246694026,1099.0
3,0.49557522123893805,0.5283018867924528,0.5114155251141552,106.0
4,0.6060606060606061,0.625,0.6153846153846154,32.0
5,0.0,0.0,0.0,5.0
6,0.0,0.0,0.0,6.0
accuracy,0.8983297022512708,0.8983297022512708,0.8983297022512708,0.8983297022512708
macro avg,0.5245356795822615,0.544874517648923,0.5344115642314131,1377.0
weighted avg,0.8942497645556408,0.8983297022512708,0.8961722646369166,1377.0
