,precision,recall,f1-score,support
0,0.7578947368421053,0.7912087912087912,0.7741935483870968,91.0
1,0.8857142857142857,0.8157894736842105,0.8493150684931506,38.0
2,0.9585585585585585,0.9681528662420382,0.9633318243549117,1099.0
3,0.5544554455445545,0.5283018867924528,0.5410628019323671,106.0
4,0.5555555555555556,0.625,0.5882352941176471,32.0
5,0.0,0.0,0.0,5.0
6,0.0,0.0,0.0,6.0
accuracy,0.9026870007262164,0.9026870007262164,0.9026870007262164,0.9026870007262164
macro avg,0.5303112260307229,0.5326361454182132,0.5308769338978819,1377.0
weighted avg,0.8951572075316854,0.9026870007262164,0.8987679352858452,1377.0
