,precision,recall,f1-score,support
0,0.5785123966942148,0.7692307692307693,0.660377358490566,91.0
1,0.8292682926829268,0.8947368421052632,0.8607594936708861,38.0
2,0.9512635379061372,0.9590536851683349,0.9551427276846398,1099.0
3,0.40186915887850466,0.4056603773584906,0.40375586854460094,106.0
4,0.0,0.0,0.0,32.0
5,0.0,0.0,0.0,5.0
6,0.0,0.0,0.0,6.0
accuracy,0.8721859114015976,0.8721859114015976,0.8721859114015976,0.8721859114015976
macro avg,0.3944161980231119,0.4326688105518368,0.4114336354843847,1377.0
weighted avg,0.8512662180254836,0.8721859114015976,0.8607866232195222,1377.0
