BI-RADS,Word,Frequency
0,the,1967
0,of,859
0,not,697
0,comparative,677
0,analysis,676
0,in,560
0,sparse,482
0,indication,410
0,clinical,406
0,significant,401
0,axillary,399
0,were,391
0,do,384
0,calcifications,383
0,regions,383
0,present,381
0,with,378
0,no,377
0,changes.,376
0,calcifications.,361
1,the,319
1,not,247
1,comparative,238
1,analysis,235
1,no,229
1,were,229
1,significant,218
1,indication,170
1,clinical,169
1,findings,169
1,observed.,164
1,axillary,164
1,do,156
1,tracking.,155
1,regions,155
1,present,155
1,changes.,152
1,grouped,140
1,suspicious,139
1,calcifications,139
2,the,15702
2,no,7383
2,were,7374
2,significant,7214
2,not,6747
2,comparative,6707
2,analysis,6666
2,sparse,6441
2,axillary,5060
2,indication,5022
2,clinical,5010
2,observed.,4836
2,of,4833
2,present,4640
2,do,4617
2,findings,4594
2,regions,4594
2,calcifications,4529
2,changes.,4518
2,tracking.,4306
3,the,2771
3,of,1118
3,in,880
3,not,690
3,significant,658
3,comparative,637
3,analysis,630
3,no,615
3,were,613
3,sparse,601
3,with,514
3,indication,484
3,clinical,470
3,axillary,468
3,to,463
3,present,458
3,do,453
3,calcifications,451
3,regions,448
3,changes.,437
4,the,861
4,of,386
4,in,286
4,comparative,213
4,not,212
4,analysis,210
4,with,205
4,sparse,183
4,axillary,152
4,calcifications,151
4,clinical,147
4,indication,147
4,significant,142
4,right,135
4,left,134
4,do,130
4,present,130
4,regions,129
4,changes.,126
4,findings,121
5,the,103
5,with,47
5,of,47
5,sparse,32
5,in,32
5,comparative,30
5,analysis,30
5,not,29
5,and,28
5,left,27
5,measuring,22
5,axillary,22
5,clinical,20
5,indication,20
5,findings,17
5,calcifications,17
5,calcifications.,16
5,approximately,16
5,breasts,15
5,fibroglandular,15
6,the,166
6,of,83
6,with,65
6,in,60
6,comparative,35
6,analysis,35
6,sparse,34
6,on,33
6,left,31
6,to,30
6,not,29
6,right,28
6,axillary,28
6,o,28
6,clinical,27
6,indication,27
6,a,26
6,findings,26
6,and,24
6,breast,24
