Word,Relative Frequency
calcification,1.0
breast,0.9117120191077369
change,0.8016719269811482
observed,0.7528789558986607
significant,0.739486479570076
comparative,0.7283118655634223
analysis,0.727032329608462
sparse,0.6684295828712787
axillary,0.537063891495351
region,0.5366373795103643
indication,0.5360402627313827
clinical,0.5330546788364753
present,0.49509511217265206
finding,0.485967755693935
tracking,0.4370894822144502
suspicious,0.4370041798174529
grouped,0.4125223918792118
fibroglandular,0.30231169495862836
nodule,0.3017998805766442
examination,0.2638403139128209
previous,0.2520685831271859
mammogram,0.2303164718928602
left,0.2289516335409025
right,0.2275867951889448
dense,0.22733088799795273
regarding,0.22195683698711935
available,0.2166680883732833
quadrant,0.19773095623987033
tissue,0.16813102448178793
densities,0.16668088373283288
partially,0.1637806022349228
cm,0.15038812590633796
lymph,0.1397253262816685
located,0.13929881429668173
node,0.13793397594472404
small,0.13716625437174784
may,0.13290113452188007
heterogeneously,0.1328158321248827
measuring,0.132645227330888
hide,0.1303420626119594
liposubstituted,0.10739571781967074
intramammary,0.10176575961784526
superolateral,0.09698882538599335
due,0.08470528021837413
mammography,0.08368165145440587
asymmetry,0.07481020216668088
ultrasound,0.07173931587477608
o,0.07173931587477608
sensitivity,0.07165401347777872
approximately,0.0696067559498422
reduce,0.06892433677386335
focal,0.06551224089396912
stable,0.06380619295402201
exam,0.06372089055702465
relation,0.059711677898148935
pleomorphic,0.05885865392817538
performed,0.05792032756120447
circumscribed,0.0568966987972362
vascular,0.05621427962125736
bilateral,0.05527595325428645
predominance,0.05467883647530496
e,0.05425232449031818
oval,0.05271688134436578
usual,0.05220506696238164
microcalcification,0.050072507037447755
surgical,0.04964599505246097
report,0.04947539025846626
junction,0.04879297108248742
compression,0.04802524950951122
contour,0.04785464471551651
manipulation,0.044357246438624924
trackingfindings,0.04273650089567517
history,0.0424805937046831
n,0.0394097074127783
image,0.038556683442804746
resulting,0.0371065426938497
correspond,0.03642412351787085
skin,0.035997611532884076
architecture,0.03497398276891581
first,0.03395035400494754
family,0.033609144416958114
retroareolar,0.033438539622963406
overlap,0.03224430606500043
study,0.03164718928601894
cyst,0.031135374904034802
posterior,0.030708862919048025
third,0.03002644374306918
fat,0.029514629361085048
replaced,0.02866160539111149
predominantly,0.02849100059711678
inferomedial,0.028405698200119425
appearance,0.027808581421137932
view,0.02772327902414058
marker,0.02772327902414058
heterogeneous,0.027382069436151155
localized,0.02712616224515909
radiopaque,0.02712616224515909
without,0.02669965026017231
lateral,0.026443743069180244
architectural,0.025846626290198755
lesion,0.024822997526230486
individualized,0.02243453041030453
de,0.02243453041030453
control,0.022349228013307174
mama,0.022178623219312462
distortion,0.021922716028320396
mammographic,0.021154994455344196
upper,0.021154994455344196
cancer,0.020813784867354773
calcifica,0.020728482470357416
area,0.02064318007336006
remaining,0.02064318007336006
margin,0.019790156103386504
s,0.019193039324405015
screening,0.01851062014842617
nodular,0.018425317751428815
adipose,0.01834001535443146
defined,0.018254712957434104
show,0.018254712957434104
characterized,0.018254712957434104
altera,0.017998805766442038
retrieved,0.017657596178452615
x,0.017572293781455257
se,0.017572293781455257
selective,0.017316386590463192
extremely,0.017231084193465838
according,0.01697517700247377
one,0.01697517700247377
implant,0.016804572208479057
signs,0.016463362620489634
year,0.01637806022349228
obscured,0.016122153032500215
regular,0.016122153032500215
observam,0.015951548238505503
significativas,0.015866245841508145
projection,0.01578094344451079
simple,0.015695641047513434
esparsas,0.015354431459524013
lise,0.015354431459524013
comparativa,0.015354431459524013
medial,0.015269129062526657
da,0.015098524268531945
lump,0.01501322187153459
better,0.014927919474537234
archive,0.014757314680542524
extracapsular,0.014672012283545168
eklund,0.014672012283545168
maneuver,0.0144161050925531
including,0.014330802695555745
normal,0.01424550029855839
